Timestamp,TaskName,Message
10.02.2025 15:02:39,Simple Task,Task successfully executed.
10.02.2025 15:08:00,Simple Task,Task successfully executed.
10.02.2025 15:08:00,Recurring Task,Task successfully executed.
10.02.2025 15:08:10,Recurring Task,Task successfully executed.
10.02.2025 15:15:37,Simple Task,Task successfully executed.
10.02.2025 15:15:37,Recurring Task,Task successfully executed.
10.02.2025 15:15:47,Recurring Task,Task successfully executed.
10.02.2025 15:15:57,Recurring Task,Task successfully executed.
10.02.2025 15:16:07,Recurring Task,Task successfully executed.
10.02.2025 15:16:17,Recurring Task,Task successfully executed.
10.02.2025 15:31:50,Simple Task,Task successfully executed.
10.02.2025 15:31:50,Recurring Task,Task successfully executed.
10.02.2025 15:32:00,Recurring Task,Task successfully executed.
10.02.2025 15:32:10,Recurring Task,Task successfully executed.
10.02.2025 15:32:25,Example,Task successfully executed.
10.02.2025 15:32:30,Simple Task,Task successfully executed.
10.02.2025 15:32:30,Recurring Task,Task successfully executed.
10.02.2025 15:32:40,Example,Task successfully executed.
10.02.2025 15:32:45,Simple Task,Task successfully executed.
10.02.2025 15:32:45,Recurring Task,Task successfully executed.
10.02.2025 15:58:46,OpenMail,Task successfully executed.
10.02.2025 16:00:32,OpenMail,Task successfully executed.
10.02.2025 16:00:32,Calculator,Task successfully executed.
11.02.2025 08:12:42,OpenMail,Task successfully executed.
11.02.2025 08:12:42,Calculator,Task successfully executed.
11.02.2025 08:14:31,OpenMail,Task successfully executed.
11.02.2025 08:14:31,Calculator,Task successfully executed.
11.02.2025 08:14:56,OpenMail,Task successfully executed.
11.02.2025 08:14:56,Calculator,Task successfully executed.
11.02.2025 08:17:52,OpenMail,Task successfully executed.
11.02.2025 08:18:22,Calculator,Task successfully executed.
11.02.2025 08:18:44,Browser,Task successfully executed.
11.02.2025 08:57:43,OpenMail,Task successfully executed.
11.02.2025 08:57:43,Calculator,Task successfully executed.
11.02.2025 08:57:43,Browser,Task successfully executed.
11.02.2025 09:00:24,OpenMail,Task successfully executed.
11.02.2025 09:00:25,Calculator,Task successfully executed.
11.02.2025 09:00:25,Browser,Task successfully executed.
11.02.2025 09:08:57,LockPC,Nutzer inaktiv. PC wird sofort gesperrt.
11.02.2025 09:10:21,LockPC,Nutzer inaktiv. PC wird sofort gesperrt.
11.02.2025 09:15:39,OpenMail,Task successfully executed.
11.02.2025 09:15:39,LockInactive,Task successfully executed.
11.02.2025 09:15:39,Calculator,Task successfully executed.
11.02.2025 09:15:39,Browser,Task successfully executed.
11.02.2025 09:15:51,LockPC,Nutzer inaktiv. PC wird sofort gesperrt.
11.02.2025 09:22:48,OpenMail,Task successfully executed.
11.02.2025 09:22:48,LockInactive,Task successfully executed.
11.02.2025 09:22:48,Calculator,Task successfully executed.
11.02.2025 09:22:48,Browser,Task successfully executed.
11.02.2025 09:22:51,LockPC,Nutzer inaktiv. PC wird sofort gesperrt.
18.02.2025 07:47:45,OpenMail,Task successfully executed.
18.02.2025 10:28:50,OpenMail,Task successfully executed.
18.02.2025 12:07:07,NotificationManager,SendNotification successfully executed.
18.02.2025 12:07:07,LockInactive,Task successfully executed.
18.02.2025 12:07:36,NotificationManager,SendNotification successfully executed.
18.02.2025 12:07:36,Browser,Task successfully executed.
18.02.2025 12:43:11,NotificationManager,SendNotification successfully executed.
18.02.2025 12:43:20,LockInactive,Task successfully executed.
18.02.2025 12:44:39,StartMonitoring,LASTINPUTINFO successfully executed.
18.02.2025 12:44:55,StartMonitoring,Process.GetProcesses successfully executed.
18.02.2025 12:45:08,NotificationManager,SendNotification successfully executed.
18.02.2025 12:45:08,LockInactive,Task successfully executed.
18.02.2025 12:56:39,StartMonitoring,Process.GetProcessesByName successfully executed.
18.02.2025 12:59:07,StartMonitoring,Process.GetProcessesByName successfully executed.
18.02.2025 13:05:03,StartMonitoring,Process.GetProcessesByName successfully executed.
18.02.2025 13:05:08,NotificationManager,SendNotification successfully executed.
18.02.2025 13:05:08,LockPC,Nutzer inaktiv. PC wird sofort gesperrt.
18.02.2025 13:06:51,StartMonitoring,uptimeMilliseconds successfully executed.
18.02.2025 13:07:02,NotificationManager,SendNotification successfully executed.
18.02.2025 13:07:02,LockInactive,Task successfully executed.
18.02.2025 13:07:02,NotificationManager,SendNotification successfully executed.
18.02.2025 13:07:02,LockPC,Nutzer inaktiv. PC wird sofort gesperrt.
18.02.2025 13:13:56,StartMonitoring,PerformanceCounter successfully executed.
18.02.2025 13:14:06,NotificationManager,SendNotification successfully executed.
18.02.2025 13:14:06,LockInactive,Task successfully executed.
18.02.2025 13:21:43,StartMonitoring,PerformanceCounter successfully executed.
18.02.2025 13:21:52,NotificationManager,SendNotification successfully executed.
18.02.2025 13:21:52,LockInactive,Task successfully executed.
18.02.2025 13:22:39,StartMonitoring,PerformanceCounter successfully executed.
18.02.2025 13:22:39,StartMonitoring,Process.GetProcessesByName successfully executed.
18.02.2025 13:22:48,NotificationManager,SendNotification successfully executed.
18.02.2025 13:22:48,LockInactive,Task successfully executed.
18.02.2025 13:22:48,NotificationManager,SendNotification successfully executed.
18.02.2025 13:22:48,LockPC,Nutzer inaktiv. PC wird sofort gesperrt.
18.02.2025 13:26:11,StartMonitoring,Process.GetProcesses successfully executed.
18.02.2025 13:26:11,StartMonitoring,PerformanceCounter successfully executed.
18.02.2025 13:26:28,StartMonitoring,uptimeMilliseconds successfully executed.
18.02.2025 13:26:54,StartMonitoring,Process.GetProcesses successfully executed.
18.02.2025 13:27:24,StartMonitoring,PerformanceCounter successfully executed.
